PPD_0,PPD_1,PPD_2,PPD_3,PPD_4,RRD_0,RRD_1,RRD_2,RRD_3,RRD_4,RPD_0,RPD_1,RPD_2,RPD_3,RPD_4,PRD_0,PRD_1,PRD_2,PRD_3,PRD_4,Hold_Time_0,Hold_Time_1,Hold_Time_2,Hold_Time_3,Hold_Time_4,PPD_Sum,RRD_Sum,RPD_Sum,PRD_Sum,Typing_Speed_Avg,Typing_Speed_Max,Typing_Speed_Min,HT_Sum,Hold_Time_Avg,Hold_Time_Std,Key_Type_1,Key_Type_2,Key_Type_3,Key_Type_4,Key_Type_5,Key_Section_1,Key_Section_2,Key_Section_3,Key_Section_4,Key_Section_5,label
3.72532,0.729242,0.802925,0.229694,0.422606,3.753636,0.699355,0.81036,0.285005,0.385074,0,0.587181,0.690751,0.110085,0.247686,0,0.841416,0.922534,0.404614,0.559994,0.142061,0.112174,0.119609,0.17492,0.137388,5.909787,5.93343,1.635703,2.728558,1.1819574000000002,3.72532,0.229694,0.6861519999999999,0.13723039999999997,0.021827516584348297,5,5.0,6.0,5.0,5.0,1,6.0,5.0,1.0,6.0,1
0.251571,0.347341,3.242472,0.530093,0.517869,0.225346,0.39146,3.192805,0.560077,0.52271,0,0.236178,3.08719,0.424478,0.38227,0,0.502623,3.348087,0.665692,0.658309,0.111163,0.155282,0.105615,0.135599,0.14044,4.889346,4.892398,4.130116,5.174711,0.9778692,3.242472,0.251571,0.648099,0.1296198,0.01859171836490646,5,6.0,5.0,5.0,6.0,2,5.0,1.0,6.0,5.0,1
0.678131,0.3617,0.604632,1.899521,0.281989,0.657003,0.371625,0.623057,1.865815,0.303439,0,0.242388,0.475395,1.751859,0.168033,0,0.490937,0.752294,2.013477,0.417395,0.119312,0.129237,0.147662,0.113956,0.135406,3.825973,3.820939,2.637675,3.674103,0.7651946,1.899521,0.281989,0.6455730000000001,0.12911460000000002,0.011911984412347082,5,5.0,0.0,5.0,0.0,4,2.0,7.0,2.0,7.0,1
4.743075,0.227492,0.126246,16.679209,1.229353,4.715774,0.229875,0.145879,16.661764,1.26565,0,0.119387,0.015758,16.549088,1.116677,0,0.33798,0.256367,16.791885,1.378326,0.108105,0.110488,0.130121,0.112676,0.148973,23.005375,23.018942000000003,17.800910000000002,18.764558,4.601075,16.679209,0.126246,0.610363,0.1220726,0.015530622403496902,5,5.0,0.0,5.0,0.0,3,4.0,7.0,2.0,7.0,1
1.16959,0.250343,0.195826,0.792099,0.836604,1.14658,0.236369,0.237155,0.792562,0.784921,0,0.12438,0.083837,0.638781,0.682823,0,0.362332,0.349144,0.94588,0.938702,0.125963,0.111989,0.153318,0.153781,0.102098,3.244462,3.197587,1.529821,2.596058,0.6488924,1.16959,0.195826,0.647149,0.12942979999999998,0.0211038126356353,5,5.0,0.0,5.0,5.0,2,3.0,7.0,2.0,4.0,1
0.209272,2.799818,2.506779,0.546814,2.035516,0.275005,4.046791,1.255434,0.101025,1.307344,0,2.631987,1.091975,0.7102729999999999,1.224218,0,4.214622,2.670238,0.264484,2.118642,0.167831,1.414804,0.163459,0.811298,0.083126,7.004571,6.985599,4.237907,9.267986,1.4009142,2.799818,-0.546814,2.640518,0.5281036,0.5152094258984786,0,7.0,4.0,7.0,7.0,7,1.0,0.0,1.0,8.0,1
1.513873,3.007968,0.514404,5.215462,2.451023,1.56511,3.009377,0.036455,5.103663,2.336508,0,2.873605,0.650176,4.528831,1.876191,0,3.14374,0.172227,5.790294,2.91134,0.134363,0.135772,0.686631,0.574832,0.460317,11.673922,12.051113,8.628451,12.017601,2.3347844,5.215462,-0.514404,1.991915,0.39838300000000004,0.22659570921886407,7,4.0,7.0,7.0,7.0,8,0.0,1.0,1.0,1.0,1
4.719507,1.156026,0.290986,0.108323,0.005765,4.40262,1.20597,0.19995,0.104206,0.132607,0,1.012596,0.097612,0.005985,0.09245599999999998,0,1.3494,0.393324,0.206544,0.230828,0.14343,0.193374,0.102338,0.098221,0.225063,6.280607,6.0453529999999995,1.0237370000000001,2.180096,1.2561214,4.719507,0.005765,0.762426,0.15248520000000002,0.049961530670707036,0,7.0,7.0,7.0,7.0,7,8.0,8.0,8.0,8.0,1
0.477924,0.00557,0.224895,0.062397999999999954,0.122014,0.277495,0.180907,0.142246,0.233405,0.019337,0,0.01906399999999997,0.024924,0.17972,0.291111,0,0.205541,0.342217,0.350727,0.432462,0.024634,0.199971,0.117322,0.413125,0.310448,0.768005,0.85339,-0.46497099999999997,1.330947,0.15360100000000002,0.477924,-0.062397999999999954,1.0655000000000001,0.2131,0.1373694746368348,7,7.0,7.0,7.0,7.0,8,8.0,8.0,8.0,8.0,1
0.199175,0.24315,0.05382699999999996,1.385614,10.860885,0.106632,0.039591,0.143653,1.334387,0.591936,0,0.025245,0.06817300000000004,1.173788,11.021484,0,0.257496,0.157999,1.5462129999999998,0.752535,0.217905,0.014346,0.211826,0.160599,11.61342,-9.086772999999999,2.216199,-9.890623999999999,2.7142429999999997,-1.8173545999999998,1.385614,-10.860885,12.218096,2.4436191999999997,4.585487996128107,7,7.0,4.0,4.0,4.0,8,8.0,2.0,0.0,0.0,1
11.732075,0.229048,1.668473,2.674413,0.019467000000000012,0.252257,0.21898,0.024285,0.95863,0.087303,0,0.095446,1.792007,0.858121,0.11997599999999997,0,0.352582,0.147819,2.774922,0.187812,0.133602,0.123534,1.816292,0.100509,0.207279,12.947595999999999,1.541455,-0.9584159999999998,3.4631350000000003,2.5895192,11.732075,-1.668473,2.381216,0.47624320000000003,0.6709777176650206,4,4.0,7.0,4.0,4.0,0,0.0,1.0,4.0,4.0,1
0.03842800000000002,0.02055499999999999,0.309914,6.575943,0.240339,0.016437,0.020578,0.171646,6.554787,0.222925,0,0.28269900000000003,0.006637,6.410934,0.096486,0,0.282722,0.474923,6.719796,0.366778,0.262144,0.303277,0.165009,0.143853,0.126439,7.067213,6.986373,6.231358,7.844219,1.4134426,6.575943,-0.03842800000000002,1.000722,0.20014439999999997,0.0697366297138025,4,4.0,4.0,0.0,0.0,2,1.0,4.0,7.0,7.0,1
0.207474,0.20619,0.135619,0.144275,0.210444,0.194059,0.223386,0.20092,0.182399,0.098963,0,0.093166,0.005399,0.051246000000000014,0.023201000000000027,0,0.33641,0.33114,0.37792,0.332608,0.113024,0.13022,0.195521,0.233645,0.122164,0.904002,0.8997269999999999,0.02411799999999996,1.378078,0.18080039999999997,0.210444,0.135619,0.7945739999999999,0.15891479999999997,0.04733834606912244,0,0.0,4.0,4.0,4.0,7,7.0,2.0,1.0,2.0,1
1.012171,0.204742,0.261648,0.21351,0.169446,1.019848,0.236862,0.217438,0.198536,0.203132,0,0.074901,0.099687,0.095759,0.066669,0,0.366703,0.379399,0.316287,0.305909,0.129841,0.161961,0.117751,0.102777,0.136463,1.8615169999999999,1.8758160000000001,0.337016,1.368298,0.3723034,1.012171,0.169446,0.648793,0.1297586,0.0197693678765913,4,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,0.0,1
1.252805,6.262583,0.28386599999999995,1.788343,0.485294,0.046856,5.021614,0.020569,1.468259,0.472031,0,4.826459,0.47902100000000003,1.288753,0.305788,0,6.457738,0.215724,1.967849,0.651537,1.436124,0.195155,0.49959,0.179506,0.166243,6.999549,7.029329,5.941979,9.292848,1.3999098,6.262583,-1.252805,2.4766179999999998,0.4953236,0.48646882346173015,7,4.0,7.0,4.0,4.0,1,0.0,1.0,0.0,0.0,1
0.335937,0.278765,0.259055,0.209439,0.204468,0.282011,0.292483,0.246147,0.197579,0.215108,0,0.166448,0.13302,0.096312,0.103201,0,0.4048,0.372182,0.310706,0.316375,0.112317,0.126035,0.113127,0.101267,0.111907,1.287664,1.233328,0.498981,1.404063,0.2575328,0.335937,0.204468,0.564653,0.11293059999999999,0.007864193527628885,4,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,0.0,1
0.212578,0.246246,0.231117,0.20409,3.129541,0.234579,0.256374,0.188685,0.222617,0.037958,0,0.112338,0.087081,0.102486,3.249672,0,0.390282,0.332721,0.324221,0.158089,0.133908,0.144036,0.101604,0.120131,3.28763,-2.23551,0.940213,-2.947767,1.205313,-0.447102,0.246246,-3.129541,3.787309,0.7574618,1.2651641534868747,4,4.0,4.0,4.0,7.0,0,0.0,0.0,0.0,1.0,1
